symbol,name,market,latestClosingDate,is_valid,four_quarters_eps,three_quarters_eps,two_quarters_eps,latest_quarter_eps,four_quarters_revenue,three_quarters_revenue,two_quarters_revenue,latest_quarter_revenue,four_years_eps,three_years_eps,two_years_eps,latest_year_eps,latest_year_roe,quarterly_eps_clear_seg,yearly_eps_clear_seg,quarterly_revenue_clear_seg
HZO,"MarineMax, Inc.  (FL) Common Stock",NYSE,2023-06-30,1.0,1.33,0.68,1.03,1.52,536764000.0,507927000.0,570340000.0,721844000.0,1.31,2.65,5.42,6.84,25.3,2,3,3
SYY,Sysco Corporation Common Stock,NYSE,2023-06-30,1.0,0.61,0.18,0.56,0.96,19126830000.0,18593953000.0,18875676000.0,19728216000.0,0.28,0.69,1.78,2.31,88.13,2,3,3
