symbol,name,market,latestClosingDate,c,c63,c126,c189,c252,is_valid
1949.T,住友電設,プライム（内国株式）,1970-01-01,2906.0,2820.0,2469.0,2425.0,2609.0,1.0
1950.T,日本電設工業,プライム（内国株式）,1970-01-01,2171.0,1906.0,1553.0,1606.0,1770.0,1.0
1951.T,エクシオグループ,プライム（内国株式）,1970-01-01,3117.0,2759.0,2421.0,2111.0,2119.0,1.0
1952.T,新日本空調,プライム（内国株式）,1970-01-01,2495.0,2232.0,1999.0,1867.0,1836.0,1.0
1959.T,九電工,プライム（内国株式）,1970-01-01,4518.0,3812.0,3465.0,3210.0,2825.0,1.0
1960.T,サンテック,スタンダード（内国株式）,1970-01-01,656.0,639.0,625.0,620.0,616.0,1.0
1961.T,三機工業,プライム（内国株式）,1970-01-01,1625.0,1486.0,1542.0,1542.0,1637.0,1.0
1963.T,日揮ホールディングス,プライム（内国株式）,1970-01-01,1960.0,1795.0,1770.0,1782.0,1984.0,1.0
1964.T,中外炉工業,プライム（内国株式）,1970-01-01,2060.0,2017.0,1877.0,1568.0,1600.0,1.0
1965.T,テクノ菱和,スタンダード（内国株式）,1970-01-01,1200.0,916.0,900.0,866.0,865.0,1.0
1966.T,高田工業所,スタンダード（内国株式）,1970-01-01,1013.0,995.0,1435.0,1377.0,1214.0,1.0
1967.T,ヤマト,スタンダード（内国株式）,1970-01-01,919.0,905.0,837.0,680.0,767.0,1.0
1968.T,太平電業,プライム（内国株式）,1970-01-01,3940.0,4175.0,4140.0,3030.0,3445.0,1.0
1969.T,高砂熱学工業,プライム（内国株式）,1970-01-01,2959.0,2420.0,2126.0,1739.0,1661.0,1.0
1971.T,中央ビルト工業,スタンダード（内国株式）,1970-01-01,564.0,524.0,523.0,543.0,561.0,1.0
1972.T,三晃金属工業,スタンダード（内国株式）,1970-01-01,4245.0,4240.0,4120.0,2990.0,2643.0,1.0
1973.T,ＮＥＣネッツエスアイ,プライム（内国株式）,1970-01-01,1972.0,1964.0,1646.0,1613.0,1695.0,1.0
1975.T,朝日工業社,プライム（内国株式）,1970-01-01,2384.0,2365.0,2170.0,2080.0,1907.0,1.0
1976.T,明星工業,プライム（内国株式）,1970-01-01,974.0,927.0,811.0,732.0,736.0,1.0
1979.T,大氣社,プライム（内国株式）,1970-01-01,4620.0,3790.0,3615.0,3420.0,3200.0,1.0
