symbol,name,market,latestClosingDate
1847.T,イチケン,プライム（内国株式）,1970-01-01
1848.T,富士ピー・エス,スタンダード（内国株式）,1970-01-01
1850.T,南海辰村建設,スタンダード（内国株式）,1970-01-01
1852.T,淺沼組,プライム（内国株式）,1970-01-01
1853.T,森組,スタンダード（内国株式）,1970-01-01
1860.T,戸田建設,プライム（内国株式）,1970-01-01
1861.T,熊谷組,プライム（内国株式）,1970-01-01
1866.T,北野建設,スタンダード（内国株式）,1970-01-01
1867.T,植木組,スタンダード（内国株式）,1970-01-01
1870.T,矢作建設工業,プライム（内国株式）,1970-01-01
1871.T,ピーエス三菱,プライム（内国株式）,1970-01-01
1873.T,日本ハウスホールディングス,プライム（内国株式）,1970-01-01
1878.T,大東建託,プライム（内国株式）,1970-01-01
1879.T,新日本建設,プライム（内国株式）,1970-01-01
1882.T,東亜道路工業,プライム（内国株式）,1970-01-01
1884.T,日本道路,プライム（内国株式）,1970-01-01
1885.T,東亜建設工業,プライム（内国株式）,1970-01-01
1887.T,日本国土開発,プライム（内国株式）,1970-01-01
1888.T,若築建設,プライム（内国株式）,1970-01-01
1890.T,東洋建設,プライム（内国株式）,1970-01-01
1893.T,五洋建設,プライム（内国株式）,1970-01-01
1897.T,金下建設,スタンダード（内国株式）,1970-01-01
1898.T,世紀東急工業,プライム（内国株式）,1970-01-01
1899.T,福田組,プライム（内国株式）,1970-01-01
1904.T,大成温調,スタンダード（内国株式）,1970-01-01
1905.T,テノックス,スタンダード（内国株式）,1970-01-01
1909.T,日本ドライケミカル,スタンダード（内国株式）,1970-01-01
1911.T,住友林業,プライム（内国株式）,1970-01-01
1914.T,日本基礎技術,スタンダード（内国株式）,1970-01-01
1921.T,巴コーポレーション,スタンダード（内国株式）,1970-01-01
1925.T,大和ハウス工業,プライム（内国株式）,1970-01-01
1926.T,ライト工業,プライム（内国株式）,1970-01-01
1928.T,積水ハウス,プライム（内国株式）,1970-01-01
1929.T,日特建設,プライム（内国株式）,1970-01-01
1930.T,北陸電気工事,プライム（内国株式）,1970-01-01
1934.T,ユアテック,プライム（内国株式）,1970-01-01
1938.T,日本リーテック,プライム（内国株式）,1970-01-01
1939.T,四電工,プライム（内国株式）,1970-01-01
1941.T,中電工,プライム（内国株式）,1970-01-01
1942.T,関電工,プライム（内国株式）,1970-01-01
1944.T,きんでん,プライム（内国株式）,1970-01-01
1945.T,東京エネシス,プライム（内国株式）,1970-01-01
1946.T,トーエネック,プライム（内国株式）,1970-01-01
1948.T,弘電社,スタンダード（内国株式）,1970-01-01
1949.T,住友電設,プライム（内国株式）,1970-01-01
1950.T,日本電設工業,プライム（内国株式）,1970-01-01
1951.T,エクシオグループ,プライム（内国株式）,1970-01-01
1952.T,新日本空調,プライム（内国株式）,1970-01-01
1959.T,九電工,プライム（内国株式）,1970-01-01
1960.T,サンテック,スタンダード（内国株式）,1970-01-01
1961.T,三機工業,プライム（内国株式）,1970-01-01
1963.T,日揮ホールディングス,プライム（内国株式）,1970-01-01
1964.T,中外炉工業,プライム（内国株式）,1970-01-01
1965.T,テクノ菱和,スタンダード（内国株式）,1970-01-01
1966.T,高田工業所,スタンダード（内国株式）,1970-01-01
1967.T,ヤマト,スタンダード（内国株式）,1970-01-01
1968.T,太平電業,プライム（内国株式）,1970-01-01
1969.T,高砂熱学工業,プライム（内国株式）,1970-01-01
1971.T,中央ビルト工業,スタンダード（内国株式）,1970-01-01
1972.T,三晃金属工業,スタンダード（内国株式）,1970-01-01
1973.T,ＮＥＣネッツエスアイ,プライム（内国株式）,1970-01-01
1975.T,朝日工業社,プライム（内国株式）,1970-01-01
1976.T,明星工業,プライム（内国株式）,1970-01-01
1979.T,大氣社,プライム（内国株式）,1970-01-01
1980.T,ダイダン,プライム（内国株式）,1970-01-01
1981.T,協和日成,スタンダード（内国株式）,1970-01-01
1982.T,日比谷総合設備,プライム（内国株式）,1970-01-01
1992.T,神田通信機,スタンダード（内国株式）,1970-01-01
1994.T,高橋カーテンウォール工業,スタンダード（内国株式）,1970-01-01
1997.T,暁飯島工業,スタンダード（内国株式）,1970-01-01
2001.T,ニップン,プライム（内国株式）,1970-01-01
2002.T,日清製粉グループ本社,プライム（内国株式）,1970-01-01
2003.T,日東富士製粉,スタンダード（内国株式）,1970-01-01
2004.T,昭和産業,プライム（内国株式）,1970-01-01
2009.T,鳥越製粉,スタンダード（内国株式）,1970-01-01
2053.T,中部飼料,プライム（内国株式）,1970-01-01
2055.T,日和産業,スタンダード（内国株式）,1970-01-01
2060.T,フィード・ワン,プライム（内国株式）,1970-01-01
2107.T,東洋精糖,スタンダード（内国株式）,1970-01-01
2108.T,日本甜菜製糖,プライム（内国株式）,1970-01-01
2109.T,ＤＭ三井製糖ホールディングス,プライム（内国株式）,1970-01-01
2112.T,塩水港精糖,スタンダード（内国株式）,1970-01-01
2114.T,フジ日本精糖,スタンダード（内国株式）,1970-01-01
2117.T,ウェルネオシュガー,プライム（内国株式）,1970-01-01
2120.T,ＬＩＦＵＬＬ,プライム（内国株式）,1970-01-01
2121.T,ＭＩＸＩ,プライム（内国株式）,1970-01-01
2122.T,インタースペース,スタンダード（内国株式）,1970-01-01
2124.T,ジェイエイシーリクルートメント,プライム（内国株式）,1970-01-01
2127.T,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,1970-01-01
2130.T,メンバーズ,プライム（内国株式）,1970-01-01
2134.T,燦キャピタルマネージメント,スタンダード（内国株式）,1970-01-01
2136.T,ヒップ,スタンダード（内国株式）,1970-01-01
2138.T,クルーズ,スタンダード（内国株式）,1970-01-01
2139.T,中広,スタンダード（内国株式）,1970-01-01
2146.T,ＵＴグループ,プライム（内国株式）,1970-01-01
2148.T,アイティメディア,プライム（内国株式）,1970-01-01
2150.T,ケアネット,グロース（内国株式）,1970-01-01
2152.T,幼児活動研究会,スタンダード（内国株式）,1970-01-01
2153.T,Ｅ・Ｊホールディングス,プライム（内国株式）,1970-01-01
2154.T,オープンアップグループ,プライム（内国株式）,1970-01-01
2156.T,セーラー広告,スタンダード（内国株式）,1970-01-01
2157.T,コシダカホールディングス,プライム（内国株式）,1970-01-01
2158.T,ＦＲＯＮＴＥＯ,グロース（内国株式）,1970-01-01
2160.T,ジーエヌアイグループ,グロース（内国株式）,1970-01-01
2162.T,ｎｍｓ　ホールディングス,スタンダード（内国株式）,1970-01-01
2163.T,アルトナー,プライム（内国株式）,1970-01-01
2164.T,地域新聞社,グロース（内国株式）,1970-01-01
2168.T,パソナグループ,プライム（内国株式）,1970-01-01
2169.T,ＣＤＳ,スタンダード（内国株式）,1970-01-01
2170.T,リンクアンドモチベーション,プライム（内国株式）,1970-01-01
2173.T,博展,グロース（内国株式）,1970-01-01
2175.T,エス・エム・エス,プライム（内国株式）,1970-01-01
2179.T,成学社,スタンダード（内国株式）,1970-01-01
2180.T,サニーサイドアップグループ,プライム（内国株式）,1970-01-01
2181.T,パーソルホールディングス,プライム（内国株式）,1970-01-01
2183.T,リニカル,プライム（内国株式）,1970-01-01
2185.T,シイエム・シイ,スタンダード（内国株式）,1970-01-01
2186.T,ソーバル,スタンダード（内国株式）,1970-01-01
